pattern,size_mb,reuse,efficiency_pct,overlap,aggregate_gbps,dev_solo_gbps,zc_solo_gbps
scatter,4,1,51.126244,0.999942,10.405626,10.250342,10.102466
scatter,4,2,51.258869,0.999911,12.370642,11.62072,12.512943
scatter,4,4,51.133838,0.999917,16.316014,14.048281,17.860167
scatter,4,8,48.659197,0.999879,20.013554,16.408999,24.721056
scatter,4,16,47.437115,0.999841,24.310226,21.597635,29.649634
scatter,4,32,46.359908,0.999806,27.873901,26.273023,33.851992
scatter,8,1,51.10073,0.99993,10.07281,9.666534,10.045142
scatter,8,2,52.102207,0.999935,11.917552,11.089903,11.783507
scatter,8,4,51.139832,0.999926,15.269483,13.021412,16.836885
scatter,8,8,49.067865,0.999887,18.718066,15.239185,22.908114
scatter,8,16,48.213696,0.999851,23.875551,20.827187,28.693079
scatter,8,32,45.737484,0.999834,26.756266,25.030758,33.468887
scatter,16,1,50.772534,0.999947,10.132579,9.962676,9.994136
scatter,16,2,53.726417,0.999937,11.947346,11.040235,11.197142
scatter,16,4,51.214713,0.999925,15.034967,12.896573,16.460161
scatter,16,8,47.938155,0.999893,18.336493,14.960008,23.290303
scatter,16,16,48.111232,0.999859,23.60475,20.412175,28.650693
scatter,16,32,43.744227,0.99985,25.110865,24.377304,33.026534
scatter,32,1,50.339342,0.999948,10.012346,9.933377,9.956326
scatter,32,2,52.036532,0.999939,11.704052,10.941722,11.550269
scatter,32,4,50.67002,0.999926,14.900752,12.844215,16.563219
scatter,32,8,47.507596,0.999916,18.355879,14.995576,23.642202
scatter,32,16,46.148628,0.999857,23.289009,20.719339,29.745887
scatter,32,32,43.203551,0.999925,25.838636,25.466114,34.340627
scatter,64,1,12.171864,0.999997,2.392326,9.761204,9.893352
scatter,64,2,13.620743,0.999994,2.990609,10.702226,11.254061
scatter,64,4,14.40386,0.999984,4.194885,12.556227,16.567113
scatter,64,8,16.903136,0.999977,6.558123,14.718495,24.079765
scatter,64,16,10.852972,0.999995,5.533284,20.620291,30.363748
scatter,64,32,9.790244,1.000004,5.946736,25.406993,35.334457
