pattern,size_mb,reuse,efficiency_pct,overlap,aggregate_gbps,dev_solo_gbps,zc_solo_gbps
scatter,16,2,53.05,0.9999,11.9,11.0,11.5
scatter,16,4,51.28,0.9998,15.0,12.9,16.4
scatter,16,8,48.12,0.9998,18.3,15.0,23.2
scatter,16,16,46.55,0.9997,22.8,20.4,28.7
scatter,16,32,43.85,0.9998,25.1,24.4,32.9
scatter,32,1,49.66,0.9999,9.8,9.9,10.0
scatter,32,2,52.33,0.9999,11.7,10.9,11.4
scatter,32,4,51.11,0.9998,15.1,12.8,16.7
scatter,32,8,49.10,0.9998,19.1,15.0,23.9
scatter,32,16,46.01,0.9999,23.2,20.6,29.8
scatter,32,32,42.99,0.9999,25.9,25.5,34.7
scatter,64,1,12.24,1.0000,2.4,9.7,9.8
scatter,64,2,13.54,1.0000,3.0,10.7,11.4
scatter,64,4,13.35,1.0000,3.9,12.6,16.5
scatter,64,8,16.92,1.0000,6.6,14.7,24.1
scatter,64,16,10.80,1.0000,5.5,20.6,30.6
scatter,64,32,9.78,1.0000,5.9,25.4,35.4
