pattern,size_mb,iters,base_batches,dev_batches,zc_batches,dev_sms,zc_sms,dev_solo_p50_gbps,zc_solo_p50_gbps,dev_co_p50_gbps,zc_co_p50_gbps,aggregate_common_p05_gbps,aggregate_common_p50_gbps,aggregate_common_p95_gbps,solo_sum_p50_gbps,aggregate_ratio_p05_pct,aggregate_ratio_p50_pct,aggregate_ratio_p95_pct,device_preserve_p50_pct,zc_preserve_p50_pct,co_wall_p50_ms,overlap_p50_ratio
scatter,2,2,64,64,74,8,8,12.426554,14.456538,6.570946,7.899190,14.155325,14.166300,14.181483,26.883092,52.655121,52.695947,52.752424,52.878265,54.640953,40.858513,0.999842
scatter,2,4,32,32,44,8,8,14.220438,19.483606,7.784738,11.118504,18.451290,18.485169,18.509031,33.704044,54.745032,54.845551,54.916350,54.743304,57.065946,34.488958,0.999807
scatter,2,8,16,16,25,8,8,17.677570,27.939397,9.128868,14.415937,23.347174,23.387027,23.448282,45.616966,51.180901,51.268264,51.402546,51.640965,51.597165,29.412283,0.999765
scatter,2,16,8,8,10,8,8,26.255588,33.183702,12.368765,17.269153,27.635362,27.817221,28.022623,59.439290,46.493426,46.799383,47.144949,47.109077,52.041068,21.712441,0.999685
scatter,2,32,4,4,4,8,8,34.433873,37.423582,17.767393,19.456085,35.184546,35.517237,35.792224,71.857455,48.964365,49.427351,49.810037,51.598589,51.988838,15.115785,0.999549
scatter,4,1,64,65,64,8,8,10.233080,10.102010,5.163120,5.123637,10.232159,10.245516,10.257758,20.335090,50.317745,50.383432,50.443631,50.455194,50.718986,52.809952,0.999877
scatter,4,2,32,32,34,8,8,11.607494,12.453249,6.052365,6.389365,12.370747,12.400431,12.417211,24.060743,51.414649,51.538021,51.607763,52.141872,51.306813,44.647492,0.999805
scatter,4,4,16,16,19,8,8,14.036199,17.105714,7.412959,9.353302,16.192456,16.212720,16.228334,31.141914,51.995701,52.060769,52.110908,52.813151,54.679398,36.218634,0.999807
scatter,4,8,8,8,12,8,8,16.384961,24.498366,8.152060,12.002163,19.965275,19.997972,20.029612,40.883326,48.834761,48.914739,48.992129,49.753308,48.991687,33.557834,0.999735
scatter,4,16,4,4,5,8,8,21.635626,29.186293,10.791954,13.595429,24.175329,24.274978,24.573873,50.821920,47.568704,47.764779,48.352901,49.880480,46.581554,24.880755,0.999707
scatter,4,32,2,2,3,8,8,26.314311,33.908709,12.745623,17.010509,28.206276,28.340963,28.424915,60.223021,46.836369,47.060016,47.199417,48.436088,50.165604,23.679105,0.999621
scatter,8,1,32,32,32,8,8,9.968483,10.043411,5.103606,5.104202,10.181464,10.205888,10.233366,20.011894,50.877066,50.999113,51.136419,51.197414,50.821402,52.604036,0.999867
scatter,8,2,16,16,17,8,8,11.078238,11.715900,5.855779,6.349732,12.071046,12.075776,12.081540,22.794138,52.956798,52.977552,53.002837,52.858394,54.197557,45.847829,0.999845
scatter,8,4,8,8,10,8,8,13.021845,16.963544,6.772429,8.852172,15.225507,15.235431,15.245226,29.985389,50.776419,50.809515,50.842182,52.008210,52.183504,39.643105,0.999834
scatter,8,8,4,4,6,8,8,15.224639,23.454929,7.573858,11.221278,18.665344,18.697453,18.750756,38.679567,48.256341,48.339354,48.477162,49.747374,47.841875,35.891982,0.999761
scatter,8,16,2,2,3,8,8,20.672849,29.421428,10.608715,14.301347,23.660547,23.828095,24.114188,50.094277,47.232037,47.566503,48.137611,51.317143,48.608610,28.163755,0.999692
scatter,8,32,1,1,1,8,8,25.016725,33.275317,12.918828,13.809817,25.755188,25.829892,25.890859,58.292042,44.183026,44.311180,44.415770,51.640764,41.501684,20.784869,0.999664
scatter,16,1,16,16,16,8,8,9.877608,9.960825,5.012053,5.012490,9.977244,10.022718,10.047761,19.838432,50.292502,50.521725,50.647956,50.741568,50.322042,53.565400,0.999878
scatter,16,2,8,8,8,8,8,11.020560,11.480895,5.968849,6.264770,11.931865,11.935982,11.941529,22.501455,53.027080,53.045377,53.070030,54.161028,54.566909,44.979200,0.999856
scatter,16,4,4,4,5,8,8,12.892064,16.426607,6.682861,8.723986,15.019294,15.034032,15.045825,29.318671,51.227745,51.278015,51.318236,51.837017,53.108871,40.174170,0.999834
scatter,16,8,2,2,3,8,8,14.951197,23.163288,7.419548,11.007458,18.312474,18.341333,18.375564,38.114486,48.045968,48.121686,48.211496,49.625109,47.521139,36.588869,0.999769
scatter,16,16,1,1,1,8,8,20.393120,28.659015,11.420468,12.229825,22.622670,22.834000,23.012511,49.052135,46.119643,46.550472,46.914392,56.001574,42.673571,23.511908,0.999708
scatter,16,32,1,1,1,8,8,24.372559,32.855592,12.549465,13.358624,25.056921,25.094690,25.172469,57.228151,43.784257,43.850254,43.986165,51.490140,40.658601,42.787611,0.999838
scatter,32,1,8,8,8,8,8,9.872307,9.959335,4.924548,4.936566,9.826420,9.847955,9.866360,19.831642,49.549202,49.657788,49.750595,49.882444,49.567227,54.515981,0.999882
scatter,32,2,4,4,4,8,8,10.936679,11.422879,5.851596,6.171529,11.697079,11.701431,11.708328,22.359558,52.313551,52.333016,52.363859,53.504322,54.027791,45.880790,0.999854
scatter,32,4,2,2,3,8,8,12.844077,16.690027,6.274549,9.059318,15.079042,15.096024,15.112891,29.534105,51.056371,51.113869,51.170981,48.851693,54.279824,44.454663,0.999809
scatter,32,8,1,1,2,8,8,14.991839,23.914156,7.317386,12.737078,19.071794,19.101701,19.142113,38.905995,49.020193,49.097063,49.200935,48.809133,53.261665,42.158883,0.999802
scatter,32,16,1,1,1,8,8,20.625122,29.803910,11.602878,12.572279,23.024684,23.202682,23.489325,50.429031,45.657597,46.010565,46.578972,56.256045,42.183322,46.276625,0.999859
scatter,32,32,1,1,1,8,8,25.492156,34.691803,12.937401,13.823182,25.845948,25.872861,25.892357,60.183958,42.944911,42.989630,43.022023,50.750519,39.845671,83.001398,0.999927
scatter,64,1,4,4,4,8,8,9.709891,9.849796,1.196685,1.196707,2.391864,2.393311,2.395049,19.559687,12.228541,12.235937,12.244823,12.324388,12.149559,224.321421,0.999976
scatter,64,2,2,2,2,8,8,10.710069,11.383799,1.495590,1.511470,2.988886,2.991088,2.995331,22.093868,13.528126,13.538093,13.557296,13.964340,13.277379,179.490156,0.999967
scatter,64,4,1,1,1,8,8,12.556142,16.502255,1.940059,1.974578,3.868660,3.879970,3.887611,29.058397,13.313398,13.352320,13.378614,15.451076,11.965505,138.369852,0.999959
scatter,64,8,1,1,2,8,8,14.707077,24.054598,2.398559,4.373252,6.530491,6.559710,6.594355,38.761675,16.847805,16.923185,17.012564,16.308879,18.180524,245.531090,0.999973
scatter,64,16,1,1,1,8,8,20.610969,30.627178,2.766381,2.771685,5.527278,5.532728,5.538509,51.238147,10.787427,10.798064,10.809346,13.421887,9.049755,388.141919,0.999990
scatter,64,32,1,1,1,8,8,25.391584,35.415518,2.973193,2.982921,5.939052,5.946281,5.953372,60.807102,9.767037,9.778925,9.790587,11.709363,8.422637,722.294701,0.999998
