n,trials,dev_sms,zc_sms,dev_solo_p50_gflops,zc_solo_p50_gflops,dev_co_p50_gflops,zc_co_p50_gflops,aggregate_common_p50_gflops,solo_sum_p50_gflops,aggregate_ratio_p50_pct,device_preserve_p50_pct,zc_preserve_p50_pct
512,51,4,4,513.472981,509.697925,503.880823,497.987981,995.975963,1023.170905,97.342092,98.131906,97.702572
1024,51,4,4,595.840025,593.889010,595.734212,595.121398,1190.242796,1189.729035,100.043183,99.982241,100.207512
2048,51,4,4,608.657836,606.165989,607.564722,606.905379,1213.810758,1214.823826,99.916608,99.820406,100.121978
4096,51,4,4,612.985634,612.261661,612.449125,612.074602,1224.149204,1225.247294,99.910378,99.912476,99.969448
