pattern,size_mb,iters,base_batches,dev_batches,zc_batches,dev_sms,zc_sms,dev_solo_p50_gbps,zc_solo_p50_gbps,dev_co_p50_gbps,zc_co_p50_gbps,aggregate_common_p05_gbps,aggregate_common_p50_gbps,aggregate_common_p95_gbps,solo_sum_p50_gbps,aggregate_ratio_p05_pct,aggregate_ratio_p50_pct,aggregate_ratio_p95_pct,device_preserve_p50_pct,zc_preserve_p50_pct,co_wall_p50_ms,overlap_p50_ratio
scatter,2,1,128,128,128,4,4,4.019173,4.007941,2.126214,2.124681,4.237256,4.248839,4.254793,8.027113,52.786801,52.931089,53.005269,52.901786,53.011787,126.357100,0.999877
scatter,2,2,128,128,140,4,4,4.860593,5.319641,2.556890,2.802893,5.348816,5.352992,5.356452,10.180234,52.541195,52.582207,52.616197,52.604480,52.689508,209.989770,0.999909
scatter,2,4,64,64,77,4,4,6.070311,7.337403,3.069905,3.728469,6.758188,6.762715,6.767855,13.407714,50.405218,50.438987,50.477321,50.572442,50.814555,174.899233,0.999898
scatter,2,8,32,32,43,4,4,7.101963,9.515737,3.552895,4.661457,8.116782,8.129498,8.139851,16.617701,48.844195,48.920716,48.983014,50.026936,48.986824,154.780920,0.999883
scatter,2,16,16,16,20,4,4,9.247278,11.307710,4.611813,5.464339,9.800972,9.834415,9.871591,20.554988,47.681720,47.844418,48.025280,49.872110,48.324008,122.829839,0.999860
scatter,2,32,8,8,10,4,4,10.643240,12.757437,5.169956,6.062999,10.888177,10.911764,10.942358,23.400676,46.529325,46.630124,46.760864,48.575022,47.525215,110.702496,0.999850
scatter,4,1,128,128,128,4,4,3.703651,3.695412,1.882571,1.882601,3.763733,3.764865,3.771890,7.399062,50.867699,50.883003,50.977951,50.830144,50.944287,285.200604,0.999923
scatter,4,2,64,64,73,4,4,4.037938,4.578740,2.224817,2.441241,4.577444,4.581139,4.585335,8.616677,53.123071,53.165956,53.214650,55.097846,53.316876,250.863230,0.999915
scatter,4,4,32,32,44,4,4,4.638661,6.309074,2.500043,3.302720,5.696722,5.704126,5.710127,10.947735,52.035621,52.103255,52.158065,53.895796,52.348725,223.534391,0.999901
scatter,4,8,16,16,23,4,4,5.827583,8.363280,3.090927,4.164158,7.023075,7.060215,7.093365,14.190863,49.490122,49.751836,49.985437,53.039594,49.790966,185.351702,0.999899
scatter,4,16,8,8,10,4,4,8.064189,9.826661,3.998537,4.680250,8.407965,8.423378,8.435110,17.890850,46.995891,47.082041,47.147619,49.583865,47.628077,143.405605,0.999878
scatter,4,32,4,4,5,4,4,8.862794,11.039421,4.285485,5.050799,9.078183,9.090160,9.102822,19.902215,45.613930,45.674114,45.737734,48.353661,45.752390,132.886494,0.999870
scatter,8,1,64,64,64,4,4,3.629046,3.623750,1.838401,1.838440,3.675853,3.676492,3.677395,7.252796,50.681871,50.690688,50.703139,50.657970,50.733090,292.056073,0.999920
scatter,8,2,32,32,36,4,4,3.961093,4.440019,2.185016,2.360021,4.454618,4.457432,4.460286,8.401112,53.024152,53.057646,53.091608,55.161960,53.153400,255.943473,0.999918
scatter,8,4,16,16,22,4,4,4.522128,6.142881,2.445422,3.208673,5.535472,5.541735,5.547282,10.665009,51.903120,51.961836,52.013855,54.076793,52.234008,230.084716,0.999912
scatter,8,8,8,8,11,4,4,5.629698,8.056963,2.987870,3.924303,6.745001,6.777521,6.819074,13.686661,49.281565,49.519172,49.822774,53.073362,48.706968,188.131962,0.999898
scatter,8,16,4,4,5,4,4,7.878025,9.385010,3.910647,4.533557,8.148755,8.159482,8.174585,17.263035,47.203491,47.265628,47.353116,49.639944,48.306366,148.043656,0.999887
scatter,8,32,2,2,2,4,4,8.641283,10.455400,4.333038,4.481758,8.652946,8.665143,8.682350,19.096684,45.311252,45.375119,45.465224,50.143457,42.865489,123.915074,0.999891
scatter,16,1,32,32,32,4,4,3.610696,3.604403,1.824646,1.824714,3.647950,3.648999,3.649908,7.215098,50.559951,50.574485,50.587079,50.534485,50.624589,294.256551,0.999932
scatter,16,2,16,16,18,4,4,3.934597,4.400281,2.162663,2.335572,4.407513,4.411232,4.414290,8.334878,52.880357,52.924976,52.961657,54.965285,53.077784,258.624031,0.999909
scatter,16,4,8,8,11,4,4,4.450708,5.988120,2.399493,3.131016,5.401638,5.407607,5.414012,10.438829,51.745634,51.802812,51.864175,53.912603,52.287125,235.791633,0.999910
