n,trials,dev_sms,zc_sms,dev_solo_p50_gflops,zc_solo_p50_gflops,dev_co_p50_gflops,zc_co_p50_gflops,aggregate_common_p50_gflops,solo_sum_p50_gflops,aggregate_ratio_p50_pct,device_preserve_p50_pct,zc_preserve_p50_pct
512,51,8,8,1425.179721,1374.055330,1372.706223,1328.993642,2657.566345,2799.235051,94.939021,96.318114,96.720533
1024,51,8,8,1654.557805,1630.636986,1645.187960,1617.860711,3235.721421,3285.194792,98.494051,99.433695,99.216486
2048,51,8,8,1719.957222,1691.278272,1705.684110,1688.655718,3377.311435,3411.235493,99.005520,99.170147,99.844937
4096,51,8,8,1710.763403,1700.357668,1707.587754,1692.411169,3384.822339,3411.121071,99.229030,99.814372,99.532657
