pattern,size_mb,iters,base_batches,dev_batches,zc_batches,dev_sms,zc_sms,dev_solo_p50_gbps,zc_solo_p50_gbps,dev_co_p50_gbps,zc_co_p50_gbps,aggregate_common_p05_gbps,aggregate_common_p50_gbps,aggregate_common_p95_gbps,solo_sum_p50_gbps,aggregate_ratio_p05_pct,aggregate_ratio_p50_pct,aggregate_ratio_p95_pct,device_preserve_p50_pct,zc_preserve_p50_pct,co_wall_p50_ms,overlap_p50_ratio
scatter,2,4,64,64,80,4,4,6.115842,7.662880,3.099862,3.927705,6.967106,6.974021,6.979605,13.778722,50.564242,50.614425,50.654952,50.685775,51.256259,173.208484,0.999909
scatter,2,8,32,32,47,4,4,7.170927,10.422748,3.592272,5.114195,8.585624,8.595270,8.605334,17.593675,48.799490,48.854318,48.911521,50.094941,49.067625,154.201100,0.999892
scatter,2,16,16,16,22,4,4,9.373197,12.791315,4.664898,6.095177,10.469653,10.526770,10.570157,22.164511,47.236109,47.493805,47.689555,49.768481,47.650901,121.126275,0.999876
scatter,2,32,8,8,11,4,4,10.821127,14.885150,5.266241,6.878034,11.850130,11.878652,11.913463,25.706277,46.098195,46.209149,46.344567,48.666286,46.207356,107.341171,0.999867
scatter,4,1,128,128,128,4,4,3.707872,3.701666,1.884579,1.884602,3.768445,3.768891,3.776451,7.409538,50.859379,50.865397,50.967424,50.826439,50.912269,284.895967,0.999928
scatter,4,2,64,64,73,4,4,4.020475,4.569627,2.204857,2.428610,4.553151,4.557392,4.561691,8.590102,53.004629,53.054000,53.104037,54.840721,53.146798,252.170360,0.999914
scatter,4,4,32,32,43,4,4,4.611729,6.215559,2.475626,3.222067,5.613798,5.619397,5.624313,10.827288,51.848607,51.900322,51.945725,53.681083,51.838743,223.919251,0.999912
scatter,4,8,16,16,22,4,4,5.827822,8.001965,3.050243,3.981363,6.849100,6.876238,6.914025,13.829787,49.524261,49.720489,49.993719,52.339323,49.754811,185.431109,0.999902
scatter,4,16,8,8,9,4,4,8.195986,9.262139,4.050148,4.374276,8.244217,8.261533,8.275174,17.458125,47.222809,47.321993,47.400133,49.416238,47.227495,138.091894,0.999883
scatter,4,32,4,4,5,4,4,9.011816,10.300000,4.346457,4.979603,8.949577,8.962168,8.974683,19.311815,46.342493,46.407694,46.472497,48.230648,48.345665,134.784299,0.999879
scatter,8,1,64,64,64,4,4,3.634144,3.627731,1.840249,1.840274,3.679772,3.680236,3.681226,7.261875,50.672474,50.678871,50.692504,50.637746,50.727979,291.758942,0.999928
scatter,8,2,32,32,36,4,4,3.945105,4.445553,2.171793,2.354545,4.443511,4.447103,4.451214,8.390659,52.957831,53.000636,53.049636,55.050323,52.964051,256.537977,0.999916
scatter,8,4,16,16,22,4,4,4.476493,6.137530,2.408679,3.186244,5.497079,5.503010,5.510114,10.614024,51.790720,51.846598,51.913530,53.807269,51.914106,231.703810,0.999909
scatter,8,8,8,8,12,4,4,5.594026,8.051384,2.943497,4.069458,6.748291,6.781809,6.812236,13.645410,49.454660,49.700295,49.923281,52.618584,50.543587,197.908446,0.999904
scatter,8,16,4,4,5,4,4,7.929869,9.388214,3.929803,4.545011,8.171898,8.180112,8.189773,17.318082,47.187082,47.234512,47.290302,49.556969,48.411881,147.670301,0.999888
scatter,8,32,2,2,2,4,4,8.712789,10.460968,4.349057,4.488729,8.681812,8.697198,8.709267,19.173757,45.279660,45.359906,45.422849,49.915780,42.909306,123.458363,0.999892
scatter,16,1,32,32,32,4,4,3.613743,3.609090,1.826887,1.827083,3.652765,3.653506,3.654180,7.222833,50.572474,50.582731,50.592068,50.553865,50.624470,293.893535,0.999928
scatter,16,2,16,16,18,4,4,3.926991,4.399674,2.146515,2.327760,4.393273,4.396522,4.400442,8.326665,52.761501,52.800515,52.847597,54.660552,52.907562,259.489368,0.999917
scatter,16,4,8,8,11,4,4,4.467842,5.996113,2.396401,3.127687,5.395433,5.401902,5.406897,10.463955,51.562080,51.623905,51.671632,53.636655,52.161898,236.040626,0.999913
scatter,16,8,4,4,6,4,4,5.504914,7.674752,2.935302,3.978226,6.589496,6.629778,6.670872,13.179666,49.997440,50.303082,50.614876,53.321480,51.835237,202.446778,0.999906
scatter,16,16,2,2,2,4,4,7.657595,8.798799,3.886454,3.970134,7.758252,7.772133,7.784510,16.456394,47.144301,47.228650,47.303862,50.752932,45.121312,138.152787,0.999898
scatter,16,32,1,1,1,4,4,8.324757,9.647756,4.155555,4.261386,8.298856,8.310222,8.323674,17.972513,46.175267,46.238511,46.313356,49.918039,44.169709,129.207355,0.999894
